Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-10,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-11,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-14,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-15,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-16,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-17,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-18,139.899994,139.899994,139.899994,139.899994,138.705307,0
2019-10-21,131,131,131,131,129.881317,4297
2019-10-22,131,131,131,131,129.881317,1297
2019-10-23,135,135,135,135,133.847153,3695
2019-10-24,135,135,135,135,133.847153,0
2019-10-25,135,135,135,135,133.847153,0
2019-10-28,135,135,135,135,133.847153,205
2019-10-29,135,135,135,135,133.847153,0
2019-10-30,135,135,135,135,133.847153,0
2019-10-31,135,141.5,135,141.5,140.291656,1121
2019-11-01,141.5,141.5,141.5,141.5,141.5,0
2019-11-04,141.5,141.5,141.5,141.5,141.5,0
2019-11-05,141.5,141.5,141.5,141.5,141.5,0
2019-11-06,141.5,141.5,141.5,141.5,141.5,0
2019-11-07,141.5,141.5,141.5,141.5,141.5,0
2019-11-08,141.5,141.5,141.5,141.5,141.5,0
2019-11-11,141.5,141.5,141.5,141.5,141.5,0
2019-11-12,141.5,141.5,141.5,141.5,141.5,0
2019-11-13,141.5,141.5,141.5,141.5,141.5,0
2019-11-14,141.5,141.5,141.5,141.5,141.5,0
2019-11-15,141.5,141.5,141.5,141.5,141.5,0
2019-11-19,141.5,141.5,141.5,141.5,141.5,0
2019-11-20,141.5,141.5,141.5,141.5,141.5,0
2019-11-21,141.5,141.5,141.5,141.5,141.5,0
2019-11-22,141.5,141.5,141.5,141.5,141.5,0
2019-11-25,141.5,141.5,141.5,141.5,141.5,0
2019-11-26,141.5,141.5,141.5,141.5,141.5,0
2019-11-27,141.5,141.5,141.5,141.5,141.5,0
2019-11-28,141.5,141.5,141.5,141.5,141.5,0
2019-11-29,141.5,141.5,141.5,141.5,141.5,0
2019-12-02,141.5,141.5,141.5,141.5,141.5,0
2019-12-03,141.5,141.5,141.5,141.5,141.5,0
2019-12-04,141.5,141.5,141.5,141.5,141.5,0
2019-12-05,141.5,141.5,141.5,141.5,141.5,0
2019-12-06,137.300003,137.300003,137.300003,137.300003,137.300003,1836
2019-12-09,141,141,141,141,141,167
2019-12-10,141,141,141,141,141,0
2019-12-11,141,141,141,141,141,0
2019-12-13,141,141,141,141,141,0
2019-12-16,141,141,141,141,141,0
2019-12-17,141,141,141,141,141,0
2019-12-18,141,141,141,141,141,0
2019-12-19,149,149,149,149,149,105
2019-12-20,149,149,149,149,149,0
2019-12-23,149,149,149,149,149,0
2019-12-24,149,149,149,149,149,0
2019-12-26,149,149,149,149,149,0
2019-12-27,149,149,149,149,149,0
2019-12-30,149,149,149,149,149,160
2019-12-31,149,149,149,149,149,0
2020-01-02,149,149,149,149,149,0
2020-01-03,149,149,149,149,149,0
2020-01-06,149,149,149,149,149,0
2020-01-07,149,149,149,149,149,0
2020-01-08,149,149,149,149,149,0
2020-01-09,157.589996,160,135,160,160,1410
2020-01-10,160,160,160,160,160,0
2020-01-13,160,160,160,160,160,0
2020-01-14,160,160,160,160,160,0
